title_author,text_stemmered
Post Captain de Patrick O'Brian,post captain patrick o'brian aubrey jack fictiti charact tale begin jack aubrey arriv home exploit mediterranean find england peac follow treati amien friend stephen maturin surgeon secret agent begin live live countri gentlemen hunt entertain enjoy amor adventur comfort exist howev cut short jack overnight reduc pauper enough debt keep prison life flee contin seek refug instead find hunt fugit napoleon order intern englishmen franc aubrey adventur escap franc debtor prison grip reader fast unequal action sea
The Reverse of the Medal de Patrick O'Brian,revers medal patrick o'brian adventur book jack aubrey return duti protect whaler south american coast persuad casual acquaint make invest citi strength suppos certain inform led half-world london crimin underground govern espionag - provinc friend stephen maturin
Miss Marple de Agatha Christie,miss marpl agatha christi mysteri miss marpl featur 20 short stori publish number differ collect britain america present order public miss marpl use uniqu insight deduc truth seri unsolv crime
The Years of Rice and Salt de Kim Stanley Robinson,"year rice salt kim stanley robinson black death hail ""the new york time book review"" ""eye-open "" altern histori last 600 year begin black death kill near everyon europ china india nation islam control world"
Spares de Michael Marshall Smith,spare michael marshal smith human clone spare - human clone ultim health insur eye eye - peopl take stori jack randal burnt-out drop way overdrawn luck bank caretak spare farm still choic might make differ
Gravity de Tess Gerritsen,graviti tess gerritsen scienc fiction emma watson research physician train mission lifetim studi live organ micrograv space true lethal natur experi reveal nasa aboard space station thing start go wrong cultur single-cel archaeon gather deep sea begin rapid multipli infect crew - dead agonis result estrang husband ground crew nasa work clock launch rescu emma stuggl contain lethal microb contagion threaten earth popul would leav astronaut strand orbit quarantin aboard station
The Wise Woman de Philippa Gregory,wise woman philippa gregori great britain alon vulner ali join nunneri attempt escap poverti find thrown back outsid world henri viii wrecker destroy sanctuari noth look magic instinct cun ali tread peril path faith childhood femal power fall love hugo feudal lord anoth woman husband dip witchcraft defeat rival win lover find magic make poor servant domin master sinc heresi new church mean stake witchcraft rope ali danger mortal woman power longer safe use
Girls' Night in de Jessica Adams; Chris Manby; Fiona Walker,girl night jessica adam chris manbi fiona walker fiction girl night in featur stori grow grow move move fall apart get togeth turn cell phone curl couch one girl night in want miss
The White Album de Joan Didion,white album joan didion american essay collect essay recount took place long morn 1960s everyon come particular bad trip didion observ drama explod america goe collect detox mother abandon five-year-old daughter central reserv interst 5 huey newton black panther preach cell student unconsci parodi simul disaffect 1960s
The Bonesetter's Daughter de Amy Tan,bonesett daughter ami tan china tell stori three generat chines women begin turn centuri
The Lexus and the Olive Tree de Thomas L. Friedman,lexus oliv tree thoma l friedman capit half new post-cold war world intent build better lexus streamlin societi economi global marketplac half lock element struggl own oliv tree strip land
'Tis de Frank McCourt,"tis frank mccourt ireland pulize prize-win author #1 ""new york times"" bestsel ""angela ashes"" frank mccourt glorious childhood memoir ""angela ash "" love celebr reader everywher nation book critic circl award ""los angel times"" book award pulitz prize rare book swift found place literari landscap ""'tis "" stori frank american journey impoverish immigr brilliant teacher raconteur frank land new york age nineteen get job biltmor hotel immedi encount vivid hierarchi ""classless countri "" draft armi sent germani train dog type report frank incompar voic render experi spellbind frank return america 1953 work dock alway resist everyon tell know get educ though left school fourteen talk way new york univers fall love quintessenti yanke tri live dream start teach frank find place world"
Ocean Star Express de Mark Haddon; Peter Sutton,ocean star express mark haddon peter sutton fiction joe parent enjoy summer holiday sea ocean star hotel sky bright blue sun shine joe love seasid offer fog roll rain fall joe begin wish back home thing chang howev owner hotel invit joe share magic world step away loft black night joe head thousand tini star begin sparkl distanc hear chug-chug-chug model train whole world soon open joe eye world snow-cap mountain great desert rock fish boat
A Small Pinch of Weather de Joan Aiken,small pinch weather joan aiken children magic fantast collect earli stori one origin children author 20th centuri 8-11 year old
Koko de Peter Straub,koko peter straub male friendship koko peter straub foray psycholog horror vietnam war
